name,name_en,code,lat,lon,has_flightable_airport,time_zone
Победа,Pobeda,ПБЕ,49.043335,134.31334,False,Asia/Vladivostok
Подволочное,Podvolochnoe,ПДВ,55.2061081,103.37056,False,Asia/Irkutsk
Шерегеш,Sheregesh,ШГШ,52.926858,87.979982,False,Asia/Novokuznetsk
Новосибирск,Novosibirsk,OVB,55.00901,82.667,True,Asia/Novosibirsk
Хатанга,Hatanga,HTG,71.96667,102.5,True,Asia/Krasnoyarsk
Великие Луки,Velikiye Luki,VLU,56.38333,30.616667,False,Europe/Moscow
Усть-Илимск,Ust-Ilimsk,UIK,58.13333,102.55,True,Asia/Irkutsk
Иркутск,Irkutsk,IKT,52.273308,104.35607,True,Asia/Irkutsk
Калуга,Kaluga,KLF,54.5,36.266666,True,Europe/Moscow
Краснокаменск,Krasnokamensk,КНК,50.0499992,118.11667,True,Asia/Yakutsk
Сангар,Sangar,САГ,63.958889,127.42111,True,Asia/Yakutsk
Петрозаводск,Petrozavodsk,PES,61.683334,34.333332,True,Europe/Moscow
Амурзет,Amurzet,АУР,47.696667,131.098056,True,Asia/Vladivostok
Тутончаны,Tutonchany,ТНЧ,64.2099991,93.79,False,Asia/Krasnoyarsk
Мыс-Каменный,Mys-Kamenny,YMK,68.46843,73.59573,False,Asia/Yekaterinburg
Петропавловск-Камчатский,Petropavlovsk-Kamchatsky,PKC,53.016666,158.65,True,Asia/Kamchatka
Хонуу,Khonu,MQJ,66.45,143.233333,True,Asia/Srednekolymsk
Чита,Chita,HTA,52.033333,113.3,True,Asia/Chita
Самара,Samara,KUF,53.50782,50.14742,True,Europe/Samara
Батагай,Batagay,BQJ,67.655,134.641667,True,Asia/Vladivostok
Красный Чикой,Krasnyiy Chikoy,КСЧ,50.3708344,108.76444,True,Asia/Yakutsk
Азау,azau,АЗА,43.266245,42.48207,False,Europe/Moscow
Ессентуки,Essentuki,ЕСН,44.046191,42.857295,False,Europe/Moscow
Нальчик,Nalchik,NAL,43.533333,43.7,True,Europe/Moscow
Новый Уренгой,Novyj Urengoj,NUX,66.07335,76.522835,True,Asia/Yekaterinburg
Красноселькуп,Krasnoselkup,KKQ,65.70796,82.456055,True,Asia/Yekaterinburg
Якутск,Yakutsk,YKS,62.085606,129.75006,True,Asia/Yakutsk
Хаилино,Khailino,ХАИ,60.9524994,166.83611,False,Asia/Kamchatka
Пермь,Perm,PEE,57.920025,56.01918,True,Asia/Yekaterinburg
Норильск,Noril'sk,NSK,69.32312,87.339806,True,Asia/Krasnoyarsk
Нягань,Nyagan,NYA,62.101074,65.60563,True,Asia/Yekaterinburg
Нюрба,Nyurba,NYR,63.283333,118.333333,True,Asia/Yakutsk
Усть-Омчуг,Ust-Omchug,УОМ,61.14759784616266,149.63504661371528,True,Asia/Magadan
Тура,Tura,GOY,64.2758331,100.21639,True,Asia/Krasnoyarsk
Поронайск,Poronaisk,ПАЙ,49.21667,143.1,True,Asia/Sakhalin
Тула,Tula,TYA,54.2,37.61667,False,Europe/Moscow
Бугульма,Bugulma,UUA,54.61667,52.816666,True,Europe/Moscow
Кузьмовка,Kuzmovka,КЗВ,62.3118802,92.6323,False,Asia/Krasnoyarsk
Никольское,Nikolskoe,НИК,55.1775017,166.045,True,Asia/Kamchatka
Талакан,Talakan,TLK,59.876389,111.044444,True,Asia/Yakutsk
Чехломей,Chekhlomej,ЧЕХ,61.1083336,80.595,False,Asia/Yekaterinburg
Сосновый Бор,Sosnovy Bor,СБР,61.6016655,80.94,False,Asia/Yekaterinburg
Шушенское,Shushenskoe,ШУШ,53.3855553,92.04472,True,Asia/Krasnoyarsk
Великий Новгород,Novgorod,NVR,58.516666,31.3,False,Europe/Moscow
Тиличики,Tilichiki,ТИЛ,60.3852768,166.02556,True,Asia/Kamchatka
Вампугольск,Vampugolsk,ВМП,60.8666649,76.61667,False,Asia/Yekaterinburg
Колекъеган,Kolekjegan,КЛК,61.7283325,79.11833,False,Asia/Yekaterinburg
